Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,25678.169922,25929.650391,25678.169922,25886.009766,25886.009766,276210000
2019-08-19,26020.060547,26222.320313,26020.060547,26135.789063,26135.789063,252640000
2019-08-20,26086.859375,26160.119141,25952.000000,25962.439453,25962.439453,238100000
2019-08-21,26145.359375,26268.320313,26141.769531,26202.730469,26202.730469,208790000
2019-08-22,26271.640625,26388.779297,26099.009766,26252.240234,26252.240234,222810000
2019-08-23,26134.210938,26320.289063,25507.179688,25628.900391,25628.900391,364260000
2019-08-26,25826.050781,25941.250000,25716.390625,25898.830078,25898.830078,222780000
2019-08-27,26014.460938,26054.019531,25721.849609,25777.900391,25777.900391,263530000
2019-08-28,25712.990234,26041.570313,25637.429688,26036.099609,26036.099609,207070000
2019-08-29,26249.089844,26408.839844,26185.710938,26362.250000,26362.250000,208650000
2019-08-30,26476.390625,26514.619141,26295.589844,26403.279297,26403.279297,2190810000
2019-09-03,26198.259766,26198.259766,25978.220703,26118.019531,26118.019531,223210000
2019-09-04,26301.990234,26362.349609,26244.439453,26355.470703,26355.470703,202710000
2019-09-05,26603.150391,26836.300781,26603.150391,26728.150391,26728.150391,256670000
2019-09-06,26790.250000,26860.869141,26708.390625,26797.460938,26797.460938,209700000
2019-09-09,26866.230469,26900.830078,26762.179688,26835.509766,26835.509766,273120000
2019-09-10,26805.830078,26909.429688,26717.050781,26909.429688,26909.429688,322340000
2019-09-11,26928.050781,27137.039063,26885.480469,27137.039063,27137.039063,272590000
2019-09-12,27197.320313,27306.730469,27105.009766,27182.449219,27182.449219,250010000
2019-09-13,27216.669922,27277.550781,27193.949219,27219.519531,27219.519531,255260000
2019-09-16,27146.060547,27172.869141,27032.560547,27076.820313,27076.820313,220620000
2019-09-17,27010.119141,27110.800781,26984.140625,27110.800781,27110.800781,223580000
2019-09-18,27075.390625,27161.929688,26899.150391,27147.080078,27147.080078,212860000
2019-09-19,27186.050781,27272.169922,27064.210938,27094.789063,27094.789063,212360000
2019-09-20,27102.179688,27194.750000,26926.679688,26935.070313,26935.070313,497640000
2019-09-23,26851.449219,27011.070313,26831.339844,26949.990234,26949.990234,204240000
2019-09-24,27034.070313,27079.679688,26704.960938,26807.769531,26807.769531,301750000
2019-09-25,26866.710938,27016.560547,26755.859375,26970.710938,26970.710938,237220000
2019-09-26,27004.109375,27015.070313,26803.839844,26891.119141,26891.119141,229180000
2019-09-27,26987.259766,27012.539063,26715.820313,26820.250000,26820.250000,217780000
2019-09-30,26852.330078,26998.859375,26852.330078,26916.830078,26916.830078,222680000
2019-10-01,26962.539063,27046.210938,26562.220703,26573.039063,26573.039063,260110000
2019-10-02,26425.859375,26438.039063,25974.119141,26078.619141,26078.619141,309640000
2019-10-03,26039.019531,26205.199219,25743.460938,26201.039063,26201.039063,241610000
2019-10-04,26271.699219,26590.740234,26271.699219,26573.720703,26573.720703,221310000
2019-10-07,26502.330078,26655.839844,26424.539063,26478.019531,26478.019531,195200000
2019-10-08,26276.589844,26421.810547,26139.800781,26164.039063,26164.039063,244590000
2019-10-09,26308.230469,26424.310547,26249.750000,26346.009766,26346.009766,190060000
2019-10-10,26317.349609,26603.310547,26314.509766,26496.669922,26496.669922,217680000
2019-10-11,26694.199219,27013.970703,26694.199219,26816.589844,26816.589844,282080000
2019-10-14,26766.429688,26874.330078,26749.179688,26787.359375,26787.359375,178620000
2019-10-15,26811.199219,27120.109375,26811.199219,27024.800781,27024.800781,245510000
2019-10-16,26972.310547,27058.339844,26943.289063,27001.980469,27001.980469,214660000
2019-10-17,27032.380859,27112.160156,26970.289063,27025.880859,27025.880859,222540000
2019-10-18,27004.490234,27018.250000,26770.130859,26770.199219,26770.199219,288970000
2019-10-21,26852.669922,26852.669922,26747.619141,26827.640625,26827.640625,241030000
2019-10-22,26850.429688,26946.640625,26782.609375,26788.099609,26788.099609,265510000
2019-10-23,26835.240234,26896.890625,26745.000000,26833.949219,26833.949219,247680000
2019-10-24,26893.929688,26931.779297,26714.339844,26805.529297,26805.529297,253590000
2019-10-25,26789.609375,27015.369141,26765.679688,26958.060547,26958.060547,274610000
2019-10-28,27040.330078,27167.880859,27028.710938,27090.720703,27090.720703,290770000
2019-10-29,27061.070313,27165.939453,27039.759766,27071.460938,27071.460938,269610000
2019-10-30,27110.710938,27204.359375,26999.640625,27186.689453,27186.689453,231750000
2019-10-31,27188.369141,27188.369141,26918.289063,27046.230469,27046.230469,273830000
2019-11-01,27142.949219,27347.429688,27142.949219,27347.359375,27347.359375,270870000
2019-11-04,27402.060547,27517.580078,27402.060547,27462.109375,27462.109375,273030000
2019-11-05,27500.230469,27560.359375,27453.550781,27492.630859,27492.630859,286350000
2019-11-06,27502.740234,27526.050781,27407.810547,27492.560547,27492.560547,237910000
2019-11-07,27590.160156,27774.669922,27590.160156,27674.800781,27674.800781,259020000
2019-11-08,27686.199219,27694.949219,27578.970703,27681.240234,27681.240234,221440000
2019-11-11,27580.660156,27714.390625,27517.669922,27691.490234,27691.490234,202350000
2019-11-12,27701.589844,27770.859375,27635.320313,27691.490234,27691.490234,213670000
2019-11-13,27622.039063,27806.400391,27587.199219,27783.589844,27783.589844,278390000
2019-11-14,27757.199219,27800.710938,27676.970703,27781.960938,27781.960938,303970000
2019-11-15,27843.539063,28004.890625,27843.539063,28004.890625,28004.890625,283720000
2019-11-18,27993.220703,28040.970703,27969.240234,28036.220703,28036.220703,252320000
2019-11-19,28079.759766,28090.210938,27894.519531,27934.019531,27934.019531,245890000
2019-11-20,27879.550781,27897.279297,27675.279297,27821.089844,27821.089844,258140000
2019-11-21,27820.279297,27828.330078,27708.339844,27766.289063,27766.289063,232020000
2019-11-22,27831.230469,27898.460938,27773.980469,27875.619141,27875.619141,214780000
2019-11-25,27917.769531,28068.689453,27917.769531,28066.470703,28066.470703,248420000
2019-11-26,28080.750000,28146.019531,28042.210938,28121.679688,28121.679688,324050000
2019-11-27,28156.470703,28174.970703,28075.230469,28164.000000,28164.000000,198210000
2019-11-29,28103.160156,28119.509766,28042.529297,28051.410156,28051.410156,120630000
2019-12-02,28109.740234,28109.839844,27782.349609,27783.039063,27783.039063,236610000
2019-12-03,27501.980469,27524.740234,27325.130859,27502.810547,27502.810547,275350000
2019-12-04,27634.630859,27727.449219,27612.080078,27649.779297,27649.779297,218200000
2019-12-05,27736.050781,27745.199219,27562.800781,27677.789063,27677.789063,208600000
2019-12-06,27839.679688,28035.849609,27839.679688,28015.060547,28015.060547,223310000
2019-12-09,27987.050781,28010.419922,27906.140625,27909.599609,27909.599609,217000000
2019-12-10,27900.650391,27949.019531,27804.000000,27881.720703,27881.720703,213250000
2019-12-11,27867.310547,27925.500000,27801.800781,27911.300781,27911.300781,213510000
2019-12-12,27898.339844,28224.949219,27859.869141,28132.050781,28132.050781,277740000
2019-12-13,28123.640625,28290.730469,28028.320313,28135.380859,28135.380859,250660000
2019-12-16,28191.669922,28337.490234,28191.669922,28235.890625,28235.890625,286770000
2019-12-17,28221.750000,28328.630859,28220.560547,28267.160156,28267.160156,286770000
2019-12-18,28291.439453,28323.250000,28239.279297,28239.279297,28239.279297,289890000
2019-12-19,28278.310547,28381.480469,28278.240234,28376.960938,28376.960938,262570000
2019-12-20,28608.640625,28608.640625,28445.599609,28455.089844,28455.089844,603780000
2019-12-23,28491.779297,28582.490234,28491.779297,28551.529297,28551.529297,223530000
2019-12-24,28572.570313,28576.800781,28503.210938,28515.449219,28515.449219,86150000
2019-12-26,28539.460938,28624.099609,28535.150391,28621.390625,28621.390625,155970000
2019-12-27,28675.339844,28701.660156,28608.980469,28645.259766,28645.259766,182280000
2019-12-30,28654.759766,28664.689453,28428.980469,28462.140625,28462.140625,181600000
2019-12-31,28414.640625,28547.349609,28376.490234,28538.439453,28538.439453,193340000
2020-01-02,28638.970703,28872.800781,28627.769531,28868.800781,28868.800781,251820000
2020-01-03,28553.330078,28716.310547,28500.359375,28634.880859,28634.880859,239590000
2020-01-06,28465.500000,28708.019531,28418.630859,28703.380859,28703.380859,252760000
2020-01-07,28639.179688,28685.500000,28565.279297,28583.679688,28583.679688,258900000
2020-01-08,28556.140625,28866.179688,28522.509766,28745.089844,28745.089844,291750000
2020-01-09,28851.970703,28988.009766,28844.310547,28956.900391,28956.900391,275060000
2020-01-10,28977.519531,29009.070313,28789.099609,28823.769531,28823.769531,237830000
2020-01-13,28869.009766,28909.910156,28819.429688,28907.050781,28907.050781,249830000
2020-01-14,28895.500000,29054.160156,28872.269531,28939.669922,28939.669922,287440000
2020-01-15,28901.800781,29127.589844,28897.349609,29030.220703,29030.220703,260270000
2020-01-16,29131.949219,29300.320313,29131.949219,29297.640625,29297.640625,252110000
2020-01-17,29313.310547,29373.619141,29289.910156,29348.099609,29348.099609,321820000
2020-01-21,29269.050781,29341.210938,29146.470703,29196.039063,29196.039063,320640000
2020-01-22,29263.630859,29320.199219,29172.259766,29186.269531,29186.269531,283440000
2020-01-23,29111.019531,29190.470703,28966.980469,29160.089844,29160.089844,307060000
2020-01-24,29230.390625,29288.789063,28843.310547,28989.730469,28989.730469,380010000
2020-01-27,28542.490234,28671.789063,28440.470703,28535.800781,28535.800781,337270000
2020-01-28,28594.279297,28823.230469,28575.750000,28722.849609,28722.849609,330140000
2020-01-29,28820.529297,28944.240234,28728.189453,28734.449219,28734.449219,302290000
2020-01-30,28640.160156,28879.710938,28489.759766,28859.439453,28859.439453,326850000
2020-01-31,28813.039063,28813.039063,28169.529297,28256.029297,28256.029297,403890000
2020-02-03,28319.650391,28630.390625,28319.650391,28399.810547,28399.810547,307910000
2020-02-04,28696.740234,28904.880859,28696.740234,28807.630859,28807.630859,332750000
2020-02-05,29048.730469,29308.890625,29000.849609,29290.849609,29290.849609,357540000
2020-02-06,29388.580078,29408.050781,29246.929688,29379.769531,29379.769531,263700000
2020-02-07,29286.919922,29286.919922,29056.980469,29102.509766,29102.509766,252860000
2020-02-10,28995.660156,29278.070313,28995.660156,29276.820313,29276.820313,250510000
2020-02-11,29390.710938,29415.390625,29210.470703,29276.339844,29276.339844,279540000
2020-02-12,29406.750000,29568.570313,29406.750000,29551.419922,29551.419922,309530000
2020-02-13,29436.029297,29535.400391,29345.929688,29423.310547,29423.310547,291150000
2020-02-14,29440.470703,29463.039063,29283.179688,29398.080078,29398.080078,231000000
2020-02-18,29282.779297,29330.160156,29116.810547,29232.189453,29232.189453,256600000
2020-02-19,29312.699219,29409.089844,29274.380859,29348.029297,29348.029297,240640000
2020-02-20,29296.250000,29368.449219,28959.650391,29219.980469,29219.980469,287780000
